"Sample","Strain","Population","PoolSize","Age","Fumaric acid","glucose 6 phosphate"
"CA1","CRB","A","5","14",-0.422376842281763,0.0359470556275063
"CA2","CRB","A","50","14",0.21238486971613,0.213160877424226
"CA3","CRB","A","100","14",0.421315287523265,0.241566672318029
"CA4","CRB","A","5","40",-0.408683264428828,0.0761040634463743
"CA5","CRB","A","50","40",0.011153042854942,0.0443893343246398
"CA6","CRB","A","100","40",0.225956857998692,0.0333711886820769
"CB1","CRB","B","5","14",-0.375093121738835,-0.0521419021615088
"CB2","CRB","B","50","14",0.279439624523184,0.360208542767403
"CB3","CRB","B","100","14",0.572752082830131,0.487850527541137
"CB4","CRB","B","5","40",-0.328184201141575,0.124979376919838
"CB5","CRB","B","50","40",0.174928136715748,-0.00775895075185584
"CB6","CRB","B","100","40",0.375476632109451,0.202156969369945
"CC1","CRB","C","5","14",-0.0727885094023835,-0.0554644271343321
"CC2","CRB","C","50","14",0.423932930262584,0.419328953068551
"CC3","CRB","C","100","14",0.515761232346994,0.245811510090172
"CC4","CRB","C","5","40",-0.408549820125457,0.188663459604588
"CC5","CRB","C","50","40",0.132822337518907,-0.0835560696348692
"CC6","CRB","C","100","40",0.283886891157484,0.293666535314369
"WA1","ORWT","A","5","14",-0.683976156731436,-0.226908442885622
"WA2","ORWT","A","50","14",-0.0653999821942302,-0.198916379373506
"WA3","ORWT","A","100","14",0.431101006629748,0.291565776088907
"WA4","ORWT","A","5","40",-0.477212266252296,-0.280521801923199
"WA5","ORWT","A","50","40",0.0535950588800151,-0.451637560711697
"WB1","ORWT","B","5","14",-0.458553084227004,-0.172693741594323
"WB2","ORWT","B","50","14",0.0947477375711587,-0.17637015656346
"WB3","ORWT","B","100","14",0.373666595876855,0.101950853024719
"WB4","ORWT","B","5","40",-0.413604754512582,-0.245033152895157
"WB5","ORWT","B","50","40",-0.0846290032280042,-0.0861409194493863
"WB6","ORWT","B","100","40",0.0939793836432097,-0.126919875031517
"WC1","ORWT","C","5","14",-0.430159607672881,-0.400728333623919
"WC2","ORWT","C","50","14",0.30835917619696,0.0844828052799649
"WC3","ORWT","C","100","14",0.265638980096611,0.0535626221608219
"WC4","ORWT","C","5","40",-0.548311509447834,-0.333084228115522
"WC5","ORWT","C","50","40",-0.0720501224601557,-0.355302301135751
"WC6","ORWT","C","100","40",-0.00132561860680624,-0.245588880067631
