"Sample","Strain","Population","PoolSize","Age","Methionine","AMINOADIPATE","Carnitine","Acetylcarnitine","AC 14:1","Myristoylcarnitine","Palmitoleylcarnitine","Palmitoylcarnitine","Linolenylcarnitine","Linoleylcarnitine","Oleoylcarnitine","AC 20:2","AC 20:1","Stearoylcarnitine","Acetylcholine","Choline","phosphocholine","Cytidine diphosphate choline (CDPcholine)","Glycerophosphocholine"
"CA1","CRB","A","5","14",-0.324436364819596,-0.355603188694122,-0.284398389548912,-0.33296973244524,-0.599298418357025,-0.571903350522539,-0.511039107397894,-0.466546268897547,-0.814283888954757,-0.557246435360004,-0.472723103242743,-0.567395354647499,-0.746299176591294,-0.507101170804702,-0.266472100274076,-0.362271187469779,-0.329796009819685,-0.186524029669272,0.110052602844866
"CA2","CRB","A","50","14",0.368191771190495,0.32628319582792,0.100604025382282,0.236435284786715,0.325846271361375,0.322394045441118,0.388568096810374,0.295748766256863,0.101975758634763,0.413674591264914,0.34069117017185,0.133290007000416,0.187663457077506,0.148680802876942,0.32293374158117,0.062344246374801,0.000957584882924856,0.12829614268839,0.403033347095362
"CA3","CRB","A","100","14",0.375839721258065,0.434693214807987,0.17102501422767,0.375533270464226,0.862613240891131,0.590011328097572,0.663994273126838,0.517623708155544,0.368603381080393,0.710582934605024,0.625818048769644,0.546791820827474,0.462566088599234,0.370279313092905,0.421842830029272,0.198723392762363,0.0255273531218334,0.247890620551623,0.461275466197026
"CA4","CRB","A","5","40",-0.562929020139951,-0.447316200416923,-0.27370339515168,-0.203115170705189,-0.224147964224878,-0.0449837204189807,-0.164084971186152,-0.410715302782825,-0.80909560057809,-0.589787885620425,-0.476749595880914,-0.306663318535762,-0.500152003826028,-0.471948977641616,-0.807185602066586,-0.35537120797506,-0.28202965023115,-0.40178660656901,-0.436280885949908
"CA5","CRB","A","50","40",0.0538647995158978,0.0829802114060127,0.175338267067601,0.281331465285284,0.520027049183355,0.290425035978553,0.200764252056147,0.00885790020941091,-0.237014418518759,0.0482409571063247,-0.0191385261136077,0.0445870815318949,-0.0796237046107509,-0.080817567415469,-0.285677098767358,0.0735421591466974,-0.0312227703712331,0.256079271666299,0.0482765938472589
"CA6","CRB","A","100","40",0.153550123339232,0.147285735880375,0.254563066993865,0.439883436192739,0.847276258989464,0.665027753060746,0.533848410554472,0.341411268269733,-0.103605032203879,0.321725274784091,0.297797120182334,0.433993063600778,0.234828163264282,0.0904820149732686,-0.205867687751969,0.162766932547514,-0.103341508496563,0.170190866096622,0.00313985129965033
"CB1","CRB","B","5","14",-0.309862879374371,-0.368916360922044,-0.443407385118137,-0.479764806646542,-0.613751656838949,-0.723038478382684,-0.66463799489328,-0.673300948871052,-1.05309014701056,-0.79252952322906,-0.614410445664218,-0.784106464673533,-0.619654080118917,-0.603725590146013,-0.294152044551891,-0.379916550031182,-0.358810707544793,-0.254444759904112,-0.0597421226368242
"CB2","CRB","B","50","14",0.333411868821565,0.157212706806647,0.0802028750995074,0.110766466986929,0.36495604219451,0.250410777072977,0.32496114767319,0.324506235276136,0.0311103897349883,0.354142019104959,0.328751826285146,0.21339849903788,0.306976579739677,0.287860985539772,0.441855747112041,0.0343041086530649,0.0111810331219049,0.376662738741502,0.497915971891328
"CB3","CRB","B","100","14",0.449338824230221,0.228707718278168,0.238260079459782,0.22304479230928,0.718358030742972,0.535285883844652,0.649185457383428,0.492150513971645,0.400661625994191,0.725452128663609,0.600010612101156,0.574343269606467,0.527476123322216,0.387109492062026,0.557615654521398,0.127995479620187,-0.0220086824404735,0.356140430752029,0.585242496454487
"CB4","CRB","B","5","40",-0.476081603490154,-0.278830520681347,-0.253770929063083,-0.356113585311423,-0.37457686442069,-0.136186182607561,-0.212806571192489,-0.332935662062926,-0.850465805254265,-0.492337818947161,-0.500422480756741,-0.264046742524389,-0.573009026488426,-0.513056303923615,-0.811560554417831,-0.351693451173381,-0.303135278663646,-0.239578980081841,-0.20934793255644
"CB5","CRB","B","50","40",0.0508837423012443,0.0944322272021925,0.035724043958461,0.309787279397055,0.691640586017971,0.702076025707026,0.542383313442324,0.330309149110509,-0.0597746090645721,0.247312258993977,0.254784962900386,0.347045818588358,0.234342489844656,0.134386427529793,-0.168560558766181,-0.0014503489980342,-0.0325882649329809,0.106204328096573,-0.0798885622185148
"CB6","CRB","B","100","40",0.116528318380546,0.113718996060204,0.226748476228181,0.352470432639178,0.840246453745334,0.858637367183443,0.732743626480381,0.517175416877043,0.194982039943747,0.536433374669693,0.50916738693057,0.674888188774868,0.389618078764911,0.263475791152964,-0.0169192778566201,0.0989470648025161,0.019002542130389,0.102086703854199,0.00912271946869136
"CC1","CRB","C","5","14",-0.337263269345745,-0.524121693965811,-0.318723009949958,-0.402981457320238,-0.592382606722281,-0.568813699392735,-0.477714228467067,-0.497715856298854,-0.814739152373912,-0.555609539085694,-0.506907871392387,-0.625780919826296,-0.540917517000763,-0.504341117201284,-0.32442469722121,-0.351946850422952,-0.389507022124175,-0.109005052375964,-0.0187589077842087
"CC2","CRB","C","50","14",0.276062661423607,0.174080948942144,0.0948398419620053,0.118147893583796,0.37114864549418,0.26241712869391,0.333643697642384,0.358934802616596,0.116109333775226,0.418825776520455,0.338563792293127,0.211319379565197,0.373206190354551,0.397062950558173,0.371756813912045,-0.000666120123720582,-0.0790046912398896,0.240859284786066,0.437541816223061
"CC3","CRB","C","100","14",0.368850808587992,0.203914012746667,0.294661863954569,0.2491127959893,0.606273417212662,0.388011102951099,0.497136839147131,0.434377203134072,0.248153174582105,0.610008959441688,0.462750865090829,0.423178314565092,0.615137366374674,0.551577187339736,0.583499757577052,0.074546884685323,-0.0339754378506836,0.200243564009678,0.424990779087925
"CC4","CRB","C","5","40",-0.547249412350461,-0.380235596432485,-0.188883960744939,-0.225610856199439,0.0123334618287076,0.192657567616912,-0.0604220275179683,-0.221271133553395,-0.694149388495102,-0.443220243491353,-0.325915685609817,-0.368976985717599,-0.451050727658897,-0.470044968586935,-0.85241722550363,-0.380665244341108,-0.425741144220192,-0.303756816730292,-0.325610901594438
"CC5","CRB","C","50","40",0.0594703707873725,-0.0711949711541435,0.18675841090817,0.267769314004567,0.500956446634288,0.422625777522647,0.309231164344754,0.139388997717749,-0.20976171125843,0.113708029211235,0.119233178584864,0.157728748197605,0.0264225811374388,-0.0240975930501284,-0.243732486704488,0.0674693455590774,-0.0824055024673065,0.151247756095298,0.00934174310577074
"CC6","CRB","C","100","40",0.216730010431244,0.27133004710168,0.288503424828638,0.446296608723033,0.968133070909289,0.89869872288703,0.734254584734304,0.563151204568585,0.154724998437406,0.563653147129467,0.559792039128232,0.765926626715371,0.462031543992915,0.382630952432482,-0.119280900435436,0.158084536893463,0.00072608100132765,0.0483093578639187,-0.0571762226262278
"WA1","ORWT","A","5","14",-0.176301525818761,-0.297665423549442,-0.320759420972538,-0.491341769376584,-1.01008034471344,-0.769020877608811,-0.623067146576036,-0.553429932147211,-0.203722404522766,-0.518939723899402,-0.467317599028776,-0.654156582291901,-0.326598025890343,-0.326578228638706,-0.204695308470017,-0.146514034223561,-0.00803918994958686,-0.168681926420851,-0.436698319145798
