Metabolite,Chemical Formula,Metabolism,HMDB ID,Column,Ion Mode,WA1,WA2,WA3,WA4,WA5,WB1,WB2,WB3,WB4,WB5,WB6,WC1,WC2,WC3,WC4,WC5,WC6,CA1,CA2,CA3,CA4,CA5,CA6,CB1,CB2,CB3,CB4,CB5,CB6,CC1,CC2,CC3,CC4,CC5,CC6,QC_01,QC_02,QC_03,QC_04,QC_05,QC_06
Histamine,C5H9N3,Amines,HMDB0000870,HILIC,Negative,23727,145251,218581,34296,180267,23407,108326,187124,34942,167480,266384,30932,147794,236135,38876,180464,269178,37785,221060,302549,41172,231870,318818,26227,208502,291443,48859,213901,282475,28812,193148,287775,40088,209347,331820,167028,166948,178831,178662,183550,187172
Ethanolamine,C2H7NO,Amines,HMDB00149,HILIC,Positive,4553,29092,47786,2333,33767,6367,26633,40319,2821,20097,30055,4568,21525,44905,2720,36672,32655,2028,15740,27536,3655,24802,42151,1796,14131,27461,3540,24372,32715,2602,16705,22634,3482,25739,41193,34795,26851,24151,23049,19667,20700
1-Methylhistamine,C6H11N3,Amines,HMDB00898,HILIC,Positive,510,10582,32016,808,18783,897,12974,30110,1549,18303,33991,434,10776,29176,726,25419,33038,646,13645,30114,1107,17257,36481,400,10839,24117,1183,18005,31051,538,15291,24376,1262,20753,39799,21477,18881,15449,13342,13038,12140
Isoleucine,C6H13NO2,Amino acid,HMDB00172,HILIC,Positive,177913,1091201,1565436,64426,610302,264187,1071228,1964700,41780,400846,624191,80049,827744,1715349,68056,599103,730816,101534,960206,1435802,88419,711166,1158681,102830,850488,1495507,103833,729218,1043866,137722,852556,1222569,103401,681092,1160969,962609,811026,800571,770736,685609,711785
Leucine,C6H13NO2,Amino acid,HMDB00687,HILIC,Positive,349570,1640532,2393434,140877,949517,469093,1739031,3024877,89024,692789,1101484,168921,1268891,2528619,154716,988657,1214703,203047,1461755,1967451,177011,1003965,1673848,219006,1459216,2314593,218398,1037537,1548982,268315,1435799,1773433,196963,1061790,1705498,1413425,1281144,1246926,1169355,1175686,1161165
Lysine,C6H14N2O2,Amino acid,HMDB00182,HILIC,Positive,279379,1277940,1918534,146413,1075204,352226,1318595,2293613,135323,833365,1190487,137130,880270,2048637,166494,1142865,1311844,155706,1066845,1576757,140908,793674,1381354,149225,955100,1639893,179537,822704,1263262,189981,1085425,1530557,162643,891550,1439768,1146163,1026350,954277,926626,865386,840407
serine,C3H7NO3,Amino acid,HMDB00187,HILIC,Positive,15581,54048,79347,12197,51577,22826,53035,89733,12938,43334,54519,14774,46479,78636,14875,54463,66624,12768,43838,64916,11557,34856,49819,12050,35572,57313,12051,36414,55560,16660,42577,57509,12100,38650,56606,45694,45843,45129,42751,40691,36297
arginine,C6H14N4O2,Amino acid,HMDB0003416,HILIC,Positive,4603817,15677333,24434618,4230514,17060627,4600700,14073315,23143317,4570052,18407683,22998408,4036815,16164294,25878300,4521312,19496086,23097337,3986661,17500465,23936160,2029260,15772986,22875541,3521964,16211631,24720278,4181111,15856047,21859235,4420375,17166957,23280759,4478168,16429122,23133622,17863943,16094925,15829319,15632120,15282245,14756680
Taurine,C2H7NO3S,Amino acid,HMDB0000251,HILIC,Positive,261783,1118557,1849147,275847,1127753,330168,1070504,1602226,283704,1025921,1243169,339439,1271745,1689525,303460,1242123,1407079,233157,1002853,1309627,296775,955867,1247829,209323,880266,1284951,258142,939652,1304184,227871,1053040,1385284,239467,991318,1290351,1195608,1045164,1031145,1012286,985735,982742
Glycine,C2H5NO2,Amino acid,HMDB00123,HILIC,Negative,45270,261715,437667,20744,136648,49598,276545,427129,17602,99196,163033,48940,219966,354633,20807,132680,178686,37950,198820,300004,32280,172605,246246,37060,216708,291301,30376,154945,218980,39001,202323,286822,28956,159834,231129,179470,184574,177858,197464,191681,193280
beta-Alanine,C3H7NO2,Amino acid,HMDB01252,HILIC,Negative,50376,247653,414399,81340,246369,71457,235092,351682,66156,249602,406802,45658,248044,352272,75424,268305,417327,74756,298768,422370,75290,383734,563825,58077,348943,417717,75599,358170,448055,59670,269709,367178,85694,369874,529652,289461,299618,311712,301208,291751,323144
Alanine,C3H7NO2,Amino acid,HMDB00161,HILIC,Negative,277923,1445950,2291013,234054,1432300,313061,1397071,2394969,205213,1389825,2088222,201801,1257263,1873255,236526,1318287,2349831,217079,1270495,1664424,212443,1724282,2467252,217066,1328945,1811385,258578,1518670,2032030,218140,1291521,1756990,223661,1555353,2027569,1231634,1355873,1314622,1382350,1365912,1440565
Serine,C3H7NO3,Amino acid,HMDB00187,HILIC,Negative,75223,360238,486268,53546,266838,85952,386948,578157,41297,224312,368050,63450,260997,475104,53140,263069,400884,59246,304852,374837,39911,261410,354183,51546,267423,319212,56238,249555,294998,58718,240474,349246,42845,224398,328362,244239,272468,249339,297975,286167,293765
Threonine,C4H9NO3,Amino acid,HMDB00167,HILIC,Negative,116312,582347,958084,77064,443265,147790,585853,1042874,50436,347273,619054,67448,469127,694073,76147,362186,734267,32251,226273,250794,58916,294710,411539,39868,214431,279533,68062,263689,408871,37242,193585,308351,37029,291363,372823,308581,322298,329959,339454,341160,362744
Hydroxyproline,C5H9NO3,Amino acid,HMDB00725,HILIC,Negative,25813,201925,239817,7035,61086,10229,189892,230442,9402,35754,63869,27947,159846,252926,4709,33556,62357,5351,71446,58320,1790,17458,37176,3005,21771,52312,1036,23314,17199,3836,22227,64569,5069,27006,20168,66720,72546,71056,74502,79334,86708
n-Glycylproline,C7H12N2O3,Amino acid,HMDB00721,HILIC,Negative,15276,114445,176216,19163,76980,16072,122035,205116,8894,76472,132390,16897,95093,148237,9854,66758,142920,17234,96287,97117,19094,98036,157080,12805,105997,134407,17815,89976,137948,12773,103217,128939,2951,106699,153972,70199,88613,88976,94565,68445,77741
N6-Acetyl-Lysine,C8H16N2O3,Amino acid,HMDB00206,HILIC,Negative,9036,48693,89777,5311,46153,10701,46297,92656,8112,57202,36357,7987,52237,88414,4653,45103,44221,7630,57907,62270,10194,65051,118782,7127,93221,149224,6530,51523,76190,10296,114371,125711,8781,88141,100947,72306,61784,64105,63204,52238,53578
Kynurenine,C10H12N2O3,Amino acid,HMDB00684,HILIC,Negative,22659,210320,434052,26451,165865,25732,220678,364805,20345,154814,336289,22787,177740,268217,22316,165369,320544,7617,93374,161888,22091,202844,285611,8420,125102,195982,23924,183733,269462,8137,116230,161296,17322,198798,275194,151186,158869,161838,159296,175506,172343
Argininosuccinate,C10H18N4O6,Amino acid,HMDB00052,HILIC,Negative,21076,163402,342586,12678,88093,8323,132953,298350,10357,106143,237440,27478,154817,312583,11205,116630,188107,11464,110051,191347,12760,84491,199422,10964,107180,176827,14918,152650,207098,16216,118017,157433,19807,100097,255065,115016,122344,119774,125482,121981,124373
2-Oxobutyrate,C4H6O3,Amino acid,HMDB00005,HILIC,Negative,96184,363943,810177,66774,206838,105175,359263,658705,62516,251313,407269,102094,351102,593588,85121,251165,403719,69849,279625,380602,54900,168187,299051,67335,319960,449457,66085,204409,381136,78843,336259,476156,55815,179274,405642,268221,267261,261583,283681,281821,280774
2-Hydroxyisobutyrate/2-Hydroxybutyrate,C4H8O3,Amino acid,HMDB00729,HILIC,Negative,8022,35558,68417,3105,36472,5968,35138,40019,2600,17663,35980,6990,24324,45291,3814,23181,54796,4577,19070,26381,7093,57111,69905,5762,23858,24727,6787,32269,30565,6617,26657,27774,7095,58489,36137,29437,30186,32042,29146,29650,29903
2-Hydroxyisovaleric Acid,C5H10O3,Amino acid,HMDB00407,HILIC,Negative,4303,127892,280029,644,21514,1752,134533,190785,1316,13057,36275,22900,154237,242730,679,21568,41662,1981,33300,65081,1108,13294,20779,1675,29516,51120,930,10835,16497,1895,34884,56008,904,13566,20518,41932,44818,43646,47769,47069,44781
2-oxo-Isocaproic Acid,C6H10O3,Amino acid,HMDB00695,HILIC,Negative,246296,1678132,2614181,83049,544749,298678,1804097,3244626,61902,593288,1310738,171458,1200302,2198136,127157,693626,1202132,104188,940330,1111884,80112,579722,1045189,109457,801418,1079511,124997,666817,1105424,110282,710359,1164293,50732,431961,1186989,775125,868702,889028,959326,940310,953781
