Sample,Strain,Population,PoolSize,Age
CA1,CRB,A,5,14
CA2,CRB,A,50,14
CA3,CRB,A,100,14
CA4,CRB,A,5,40
CA5,CRB,A,50,40
CA6,CRB,A,100,40
CB1,CRB,B,5,14
CB2,CRB,B,50,14
CB3,CRB,B,100,14
CB4,CRB,B,5,40
CB5,CRB,B,50,40
CB6,CRB,B,100,40
CC1,CRB,C,5,14
CC2,CRB,C,50,14
CC3,CRB,C,100,14
CC4,CRB,C,5,40
CC5,CRB,C,50,40
CC6,CRB,C,100,40
WA1,ORWT,A,5,14
WA2,ORWT,A,50,14
WA3,ORWT,A,100,14
WA4,ORWT,A,5,40
WA5,ORWT,A,50,40
WB1,ORWT,B,5,14
WB2,ORWT,B,50,14
WB3,ORWT,B,100,14
WB4,ORWT,B,5,40
WB5,ORWT,B,50,40
WB6,ORWT,B,100,40
WC1,ORWT,C,5,14
WC2,ORWT,C,50,14
WC3,ORWT,C,100,14
WC4,ORWT,C,5,40
WC5,ORWT,C,50,40
WC6,ORWT,C,100,40
