"Sample","Strain","Population","PoolSize","Age","Fumaric acid","glucose 6 phosphate"
"CA1","CRB","A","5","14",-0.573862751336235,0.573862751336235
"CA2","CRB","A","50","14",-0.345088806235648,0.345088806235649
"CA3","CRB","A","100","14",-0.254826494778983,0.254826494778982
"CA4","CRB","A","5","40",-0.587094466319201,0.587094466319201
"CA5","CRB","A","50","40",-0.361318948116449,0.361318948116449
"CA6","CRB","A","100","40",-0.248407967723293,0.248407967723293
"CB1","CRB","B","5","14",-0.506176412170263,0.506176412170263
"CB2","CRB","B","50","14",-0.385085261503709,0.385085261503709
"CB3","CRB","B","100","14",-0.302250024737103,0.302250024737104
"CB4","CRB","B","5","40",-0.571282591412307,0.571282591412307
"CB5","CRB","B","50","40",-0.253357258647799,0.253357258647799
"CB6","CRB","B","100","40",-0.258040971011847,0.258040971011847
"CC1","CRB","C","5","14",-0.353362843515626,0.353362843515626
"CC2","CRB","C","50","14",-0.342398813784584,0.342398813784584
"CC3","CRB","C","100","14",-0.209725941253189,0.20972594125319
"CC4","CRB","C","5","40",-0.643307442246623,0.643307442246623
"CC5","CRB","C","50","40",-0.236511598804712,0.236511598804713
"CC6","CRB","C","100","40",-0.349590624460043,0.349590624460043
"WA1","ORWT","A","5","14",-0.573234659304507,0.573234659304507
"WA2","ORWT","A","50","14",-0.277942603791963,0.277942603791963
"WA3","ORWT","A","100","14",-0.27493318711118,0.27493318711118
"WA4","ORWT","A","5","40",-0.443046034546148,0.443046034546149
"WA5","ORWT","A","50","40",-0.0920844925857445,0.0920844925857436
"WB1","ORWT","B","5","14",-0.48763047369794,0.487630473697941
"WB2","ORWT","B","50","14",-0.20914185531429,0.209141855314291
"WB3","ORWT","B","100","14",-0.208842930955532,0.208842930955532
"WB4","ORWT","B","5","40",-0.428986603190312,0.428986603190313
"WB5","ORWT","B","50","40",-0.34394484427091,0.343944844270909
"WB6","ORWT","B","100","40",-0.234251173044237,0.234251173044237
"WC1","ORWT","C","5","14",-0.359416439406081,0.359416439406082
"WC2","ORWT","C","50","14",-0.232762616923102,0.232762616923103
"WC3","ORWT","C","100","14",-0.238662623413706,0.238662623413705
"WC4","ORWT","C","5","40",-0.452314443047756,0.452314443047756
"WC5","ORWT","C","50","40",-0.203074713043803,0.203074713043803
"WC6","ORWT","C","100","40",-0.222569171651188,0.222569171651188
