"Sample","Strain","Population","PoolSize","Age","Methionine","AMINOADIPATE","Carnitine","Acetylcarnitine","AC 14:1","Myristoylcarnitine","Palmitoleylcarnitine","Palmitoylcarnitine","Linolenylcarnitine","Linoleylcarnitine","Oleoylcarnitine","AC 20:2","AC 20:1","Stearoylcarnitine","Acetylcholine","Choline","phosphocholine","Cytidine diphosphate choline (CDPcholine)","Glycerophosphocholine"
"CA1","CRB","A","5","14",-0.237519817106025,-1.66522420483667,0.342115286630181,0.89664422757928,-0.561451200310549,0.540557228691477,0.849398098929106,1.03101072869175,-0.756923833268551,0.465485840526507,1.13368149539494,-0.559799014192237,-0.877640719344439,0.319855209220458,-0.769400399805011,0.295820141204405,0.825192708383501,-1.01454740714251,-0.257254369245619
"CA2","CRB","A","50","14",-0.216147838010565,-1.65459397722926,0.055861544646743,0.794793087896604,-0.30756266750678,0.763598467740502,1.07774914622274,1.12204960693153,-0.511920342593662,0.765150710236794,1.2758396118949,-0.530369809458953,-0.61493424259027,0.304381025987471,-0.851250714864396,0.0491794181343534,0.48469014617148,-1.37098339169948,-0.635529781909754
"CA3","CRB","A","100","14",-0.409743188677713,-1.74742725898391,-0.0749607672425867,0.732647772839397,0.027961001288257,0.829972449662239,1.15193202180449,1.14268124809549,-0.44653602088275,0.860815752842186,1.35972318975798,-0.318111296366612,-0.541274911803259,0.324736235468716,-0.953584927151011,-0.0156847362128021,0.308016613675671,-1.45263221457097,-0.778530963542807
"CA4","CRB","A","5","40",-0.495918135309047,-1.77684287944214,0.332904618144745,1.00659312643666,-0.20620640906107,1.04757119591237,1.17644657225818,1.0669360319238,-0.771641207774551,0.413038727383419,1.1097493398741,-0.318972640963167,-0.65139920946184,0.335101739500877,-1.33001956448019,0.282814457816456,0.853053405089368,-1.24971564692492,-0.82349352092306
"CA5","CRB","A","50","40",-0.35906473871134,-1.72648689067734,0.302005857305884,1.01109933936899,0.0580281812890213,0.90303952925176,1.06135537244234,1.0065688118579,-0.679500448773362,0.571127147052027,1.08741998658327,-0.447662663953651,-0.710811333304704,0.246292726668883,-1.2884514842391,0.231787401880072,0.623919861891144,-1.07179019174775,-0.818876464184035
"CA6","CRB","A","100","40",-0.434860159802384,-1.83766211111736,0.20574991231777,0.994170565362071,0.209796646180751,1.10216150141957,1.21895878602628,1.16364143500384,-0.72157180737286,0.669130719815415,1.22887488796483,-0.233737426799147,-0.57184021034405,0.242111564143242,-1.38412281813809,0.145531430366511,0.376320378851436,-1.33315934223181,-1.03949395164602
"CB1","CRB","B","5","14",-0.12057747524573,-1.57616852064952,0.285475147476026,0.852218009793049,-0.473535582377403,0.491790957246403,0.798168067848791,0.926624905133313,-0.893361234909282,0.332571609072522,1.09436300938854,-0.6741412678032,-0.648626766456991,0.325599646294219,-0.694711487667755,0.380543635058072,0.898546867073463,-0.980099280962282,-0.324680238312238
"CB2","CRB","B","50","14",-0.26266330417884,-1.83540003004987,0.0237248305646238,0.657388706297473,-0.28018846047299,0.679879635573017,1.00240663328621,1.13907151215145,-0.594521275292782,0.693882574277494,1.25216470420885,-0.461996881220833,-0.507356683727443,0.431825644850957,-0.744064273132869,0.00940371661327255,0.483178030611115,-1.13435235944571,-0.552382720913132
"CB3","CRB","B","100","14",-0.332198554664064,-1.94936722447223,-0.00368017096898132,0.584204825725944,-0.112248677818409,0.779292536450812,1.14116873710257,1.12125358495308,-0.410432244927459,0.879730477942265,1.33796128413098,-0.286514316546127,-0.472319346038784,0.345611945479331,-0.813766571617392,-0.0823671183134849,0.264526109154857,-1.34033687332907,-0.650518402243853
"CB4","CRB","B","5","40",-0.421601812674184,-1.62088829372149,0.340305990218409,0.841063617815497,-0.369166403271815,0.943837639708855,1.11519387823691,1.13218457862877,-0.825542506465659,0.49795770004175,1.07354536098334,-0.288887158966727,-0.73678732613917,0.281463319203946,-1.34692561084637,0.273961120603202,0.81941668264194,-1.10003911445268,-0.609091661544525
