Metabolite,Chemical Formula,Metabolism,HMDB ID,Column,Ion Mode,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48, QC 01, QC 02, QC 03
3-Dehydroxycarnitine,C7H15NO2,Carnitine,HMDB0012154,C18,Positive,53843.30208,285090.9864,514230.6333,32174.77328,256921.2278,408540.7968,33703.1285,270182.9624,464093.5323,47062.18073,223973.7458,412247.4718,67651.56096,285971.3,477265.1662,47453.14054,235286.9567,427710.7517,14683.15094,238104.4555,190428.3776,31331.63218,261364.1195,559360.7361,41209.32643,354868.626,681723.7903,62139.33031,506747.1376,790981.901,77344.31979,464043.597,722207.2028,85952.35577,521638.6866,835678.3706,115319.7541,496957.2051,869084.7055,78455.82382,517565.4739,798703.123,124796.7204,609535.0301,794148.2554,45028.63517,532581.7152,740594.7037,387708.0932,395687.9415,373452.1092
Carnitine,C7H15NO3,Carnitine,HMDB0000062,C18,Positive,1119430.172,5709247.291,9823860.363,1520086.026,6878645.268,10732935.15,1584936.856,7226642.359,10458407.74,1324626.391,5275802.773,9962682.998,1464416.417,6055107.951,9614576.999,1275747.616,6135183.196,10017232.75,1465055.193,7197311.287,10096079,1084123.46,6483030.19,11631403.48,936764.1157,4121553.089,6126601.705,1193527.131,5572204.862,8870844.537,1065403.707,5646993.982,9220456.723,1392413.148,6490910.403,9624062.116,1230520.064,5637359.691,10255354.92,1240821.876,5349664.84,9194761.438,1162284.012,5548631.901,8880292.701,1026576.212,5750907.772,8994888.569,6000158.681,5868765.763,6105112.717
Acetylcarnitine,C9H17NO4,Carnitine,HMDB0000201,C18,Positive,1376692.16,5195448.563,7807718.922,972978.9722,4419497.007,6372180.921,971327.4294,4103457.812,6221227.367,1065147.883,3252211.133,5680507.752,900825.6242,3981720.075,5922036.615,966416.6998,3705629.467,5929901.325,1186204.392,4293522.979,5759340.444,1275641.693,3646478.8,5647162.696,1166985.856,6687843.366,10850464.32,1150728.625,4663154.436,7627937.761,1067741.85,4044310.528,6637764.377,945031.6042,4138281.416,5530534.582,995681.2998,4030647.964,5408057.439,931236.44,4522910.573,5883636.782,1097507.359,4067170.791,6955706.366,1138549.632,4180647.671,6587638.982,4254431.049,4392259.471,4143005.53
Octanoylcarnitine,C15H29NO4,Carnitine,HMDB0000791,C18,Positive,1545.292081,10226.11242,25129.47608,1457.766248,12618.63096,21940.97755,495.5699732,11934.90977,18937.38024,513.5454106,9165.356314,23620.07896,556.2046749,10467.66512,24980.58922,7050.115377,7992.796554,29166.33231,1291.23758,15967.8619,36643.82967,428.9068335,11784.13957,24835.17431,2114.62716,6236.487644,24730.09146,975.8629413,11600.6211,16858.73539,328.7432934,9393.749068,24763.93252,463.8748431,10402.91446,20009.35876,158.5412842,8000.783586,22560.21934,979.1177031,9741.622444,25129.72247,618.5687369,7330.000039,13371.96571,629.5030572,14650.69288,20794.04732,12452.61447,9604.824588,10347.64313
Myristoleoylcarnitine (AC 14:1),C21H39NO4,Carnitine,HMDB0240588,C18,Positive,77653.217,842986.6282,2362086.353,108147.305,1583230.09,3788552.447,125088.9828,1608696.715,2514144.702,93760.9085,1792619.046,5276834.082,93052.579,1768476.643,4936572.895,114787.666,1740005.919,4464211.43,85406.15586,1533765.012,3940713.506,126035.942,1846000.596,3890211.386,54047.95,621843.6432,1655760.901,62943.68768,812207.1497,1143440.848,53543.758,650427.2895,1487654.675,66660.084,912940.2548,1512068.602,74494.86865,892965.0782,1464312.225,58111.071,775021.7885,2028413.465,73766.9955,787650.2469,1911440.669,87923.91192,772151.847,1276297.986,1450706.149,1379365.379,1364133.394
Myristoylcarnitine,C21H41NO4,Carnitine,HMDB0005066,C18,Positive,1592619.823,11249809.35,22583505.45,1948071.44,13071253.13,22355389.84,1933032.744,16329449.51,20216784.72,1394449.007,13357342.95,27729139.64,1938286.538,11607949.2,24197281.09,1940835.724,11740359.56,24498762.72,2016234.731,12912480.07,26049721.39,2002833.707,14287345.73,27085933.31,996667.5436,8040719.587,16909139.87,1158041.861,9409277.077,14228003.63,966962.6922,8309977.427,15664649.98,1300652.127,8757378.367,14649692.93,1113331.81,8996796.79,14814610.42,1119506.883,8829614.745,16730694.22,1272021.444,8531878.357,16077725.39,1309367.642,9270524.974,13548603.23,12138222.9,12594844.27,12391639.36
"9,12-Hexadecadienyoylcarnitine (AC 16:2)",C23H41NO4,Carnitine,HMDB0013334,C18,Positive,4907.882153,59962.58384,167942.5845,3099.127136,75884.46127,172966.704,8774.791761,144878.0739,180914.4589,4572.693441,101621.4099,237581.4787,4168.617266,79493.34642,294187.7861,3750.820241,93249.14751,257784.2862,8684.164019,76818.16121,250837.497,2520.144983,89961.1598,208701.2558,13550.53778,80969.78564,208130.2737,9921.49288,118903.5152,175711.2125,14777.71019,91185.33369,204293.6027,10705.52668,104085.6165,202407.2559,10624.59763,105857.5291,172556.8288,6695.17647,113138.907,228025.9868,13207.51253,115913.1189,225763.3202,9667.758827,99547.33175,167593.1242,115787.2483,123305.3635,103983.7941
Palmitoleylcarnitine (AC 16:1),C23H43NO4,Carnitine,N/A,C18,Positive,2615754.396,16961649.2,33261677.74,3305437.261,21178422.19,37586701.47,3188046.557,26062632.51,34302799.4,2150649.718,20200526.56,45522489.34,2995512.94,17391015.46,46003797.01,3066373.323,18717409.34,45336098.24,3020592.325,20436671.17,45333355.59,2618623.88,21146470.74,40600482.68,1194333.703,10204159.17,23625963.12,1570392.136,12834087.12,20774691.03,1047469.01,12134082.67,23259343.91,2006818.84,13126286.65,22127435.17,1457916.333,12848381.58,22056627.95,1952453.238,12442766.41,25863195.09,1944687.822,11675334.07,22352441.49,1809937.351,13620811.24,18985981.76,18889506.9,19218025.77,18577876.54
Palmitoylcarnitine (AC 16:0),C23H45NO4,Carnitine,HMDB0000222,C18,Positive,1819304.963,12329302.85,25159254.92,2395226.165,13496182.71,25548174.23,2276795.236,15287350.02,20651680.8,1522864.675,12234344.47,25372728.16,1790794.745,12525811.88,22527212.05,1763403.37,11263995.57,22470576.53,2154217.711,13410213.58,25906760.46,2030085.767,13632116.03,24147785.36,1560218.556,12949745.99,23029244.98,1713504.035,13808690.28,23625135.95,1584698.417,13085273.4,22926087.54,1911618.971,12834437.37,21761663.61,1734940.387,13326670.86,22214707.84,1818635.17,12568890.92,22010046.8,1609587.349,11878892.1,23907151.05,1750476.22,14018917.73,22853351.12,14565470.89,14477298.33,13950321.03
3-Hydroxypalmitoleoylcarnitine (AC 16:1-OH),C23H43NO5,Carnitine,HMDB0240770,C18,Positive,24469.4325,276426.5134,785486.4044,30217.34683,438029.5781,1111835.698,27074.815,482237.407,766593.4482,22413.404,413273.0121,1120620.251,20862.9575,471181.2781,1119830.099,22464.406,440866.1124,1110110.649,22494.938,476150.953,1099382.439,29584.2135,496772.6763,1011300.006,5335.881,143165.7192,359155.4652,11338.90882,188796.6655,279229.4651,7215.772,166031.7976,329911.2376,9803.386,215635.4684,393997.9619,11497.27175,202482.576,363717.6068,9290.016,190933.4135,450205.0516,9439.065,190912.4758,402861.3945,13604.159,208586.2941,338810.7064,363639.0113,359347.7282,335069.5209
Hepadecanoylcarnitine (AC 17:0),C24H47NO4,Carnitine,HMDB0006210,C18,Positive,25380.88922,202015.3135,428215.5675,35911.96159,275909.9335,470213.2713,34791.95436,254601.8948,368701.2971,26247.51345,180028.9348,427649.6631,34443.79447,277843.912,436554.1011,16455.41115,215662.0918,411870.0489,39334.82853,291922.5176,465643.4173,23499.72684,281861.4739,428130.7268,117637.648,1025636.58,1499488.835,142286.4228,867783.9438,1491375.887,131135.766,874619.6805,1554336.577,128343.3274,962728.598,1615465.018,135799.8133,968037.7767,1543198.367,97807.06456,894303.5961,1478444.457,101164.258,934620.953,1724374.06,107755.0845,877029.7853,1455684.373,682569.0889,689792.2244,653940.9971
3-Hydroxypalmitoylcarnitine (AC 16:0-OH),C23H45NO5,Carnitine,HMDB0013336,C18,Positive,29116.5905,333033.1179,789915.6388,30470.7375,427545.9605,955776.7033,34268.1035,458110.7225,703837.6927,29607.612,380280.1392,934462.704,24456.3545,429809.644,866841.8029,26123.6955,417101.2431,892411.5629,27403.6055,458662.0621,889166.392,32282.9135,474124.6888,868886.0734,19307.559,324664.582,538965.6479,26886.9595,324800.161,471317.6878,24048.883,327717.7592,500343.8615,28241.413,346081.6044,575776.6012,30608.2435,364839.6195,563558.6218,24178.4315,314157.6649,586675.2771,22853.524,321560.5869,644392.5241,24629.5215,333584.6373,607144.2394,406502.5935,414065.1049,394768.7474
Linolenylcarnitine,C25H43NO4,Carnitine,HMDB0006319,C18,Positive,89326.1675,790895.1505,1409027.456,76374.5005,628494.9621,1299872.645,154851.2335,2610608.341,2735931.404,82535.9365,1198491.389,2137513.928,66477.13817,820357.5782,2724187.64,94887.5135,765076.3737,1792345.097,157467.7683,786431.247,2095411.183,126160.5925,969165.5231,1794110.921,42968.71787,440781.5266,1222038.161,52129.87237,649643.3,931469.5322,42291.286,691844.7898,1249107.969,182750.2813,677959.2413,1230302.386,48923.49296,634630.5284,1183412.361,81935.172,631986.502,1143106.564,85088.986,620317.1804,1049264.56,72370.913,934496.2776,1090864.466,949183.3279,995231.3939,942159.1571
Linoleoylcarnitine,C25H45NO4,Carnitine,HMDB0006469,C18,Positive,352886.1719,2873555.973,6192260.797,420888.1986,3196868.554,6991441.38,552493.8617,5171221.735,7384719.525,298316.0596,3641425.19,7972080.92,459993.1828,3152610.629,8711202.403,372735.4116,3085097.647,7944307.475,616255.9228,3389546.139,9000890.326,390172.2521,3315308.321,6550886.918,472488.7901,3738006.181,8142328.459,510682.4355,4951115.835,8237718.931,442090.7017,5128673.987,9280707.113,692094.9789,5270019.128,9368512.032,525618.4119,5555201.891,9325581.622,617521.7949,5268611.798,9840295.846,608666,4553588.871,9248338.577,497297.6001,4957406.785,7754231.263,4857308.534,5054285.077,4746671.677
Oleoylcarnitine,C25H47NO4,Carnitine,HMDB0005065,C18,Positive,2060198.631,13890489.88,28501315.12,2766109.385,17984191.09,31701202.75,2507363.592,19468434.96,28015840.81,1806797.19,14321140.25,32231280.72,2301760.03,15943101.12,34329298.61,1962055.642,14190978.7,32552492.79,2364915.247,17741099.67,34302702.41,2166457.54,16126031.99,29935942.82,1625948.246,13358419.65,24330171.72,1831299.726,15070617.51,24246014.84,1581366.596,14481934.06,26501708.5,2080946.524,15335979.64,24722864.14,1741958.993,15135066.31,25893915.27,1873515.37,14063352.59,26378354.16,1664648.279,13575431.56,26043612.64,1797419.129,15113026.78,22986418.31,18065524.31,17781076.37,17313402.62
