RunOrder,Tube,Cell,Sample,ID,Diet,Population,PoolSize
38,1,A1,HSD_1_005,T1S,HSD,1,5
13,2,A2,HSD_1_050,T1M,HSD,1,50
6,3,A3,HSD_1_100,T1L,HSD,1,100
7,4,B1,HSD_2_005,T2S,HSD,2,5
54,5,B2,HSD_2_050,T2M,HSD,2,50
47,6,B3,HSD_2_100,T2L,HSD,2,100
22,7,C1,HSD_3_005,T3S,HSD,3,5
49,8,C2,HSD_3_050,T3M,HSD,3,50
51,9,C3,HSD_3_100,T3L,HSD,3,100
21,10,D1,HSD_4_005,T4S,HSD,4,5
5,11,D2,HSD_4_050,T4M,HSD,4,50
4,12,D3,HSD_4_100,T4L,HSD,4,100
2,13,E1,HSD_5_005,T5S,HSD,5,5
14,14,E2,HSD_5_050,T5M,HSD,5,50
44,15,E3,HSD_5_100,T5L,HSD,5,100
36,16,F1,HSD_6_005,T6S,HSD,6,5
34,17,F2,HSD_6_050,T6M,HSD,6,50
15,18,F3,HSD_6_100,T6L,HSD,6,100
33,19,G1,HSD_7_005,T7S,HSD,7,5
32,20,G2,HSD_7_050,T7M,HSD,7,50
9,21,G3,HSD_7_100,T7L,HSD,7,100
20,22,H1,HSD_8_005,T8S,HSD,8,5
41,23,H2,HSD_8_050,T8M,HSD,8,50
39,24,H3,HSD_8_100,T8L,HSD,8,100
3,25,A4,STD_1_005,C1S,STD,1,5
16,26,A5,STD_1_050,C1M,STD,1,50
30,27,A6,STD_1_100,C1L,STD,1,100
43,28,B4,STD_2_005,C2S,STD,2,5
8,29,B5,STD_2_050,C2M,STD,2,50
1,30,B6,STD_2_100,C2L,STD,2,100
11,31,C4,STD_3_005,C3S,STD,3,5
19,32,C5,STD_3_050,C3M,STD,3,50
25,33,C6,STD_3_100,C3L,STD,3,100
26,34,D4,STD_4_005,C4S,STD,4,5
52,35,D5,STD_4_050,C4M,STD,4,50
53,36,D6,STD_4_100,C4L,STD,4,100
24,37,E4,STD_5_005,C5S,STD,5,5
35,38,E5,STD_5_050,C5M,STD,5,50
42,39,E6,STD_5_100,C5L,STD,5,100
23,40,F4,STD_6_005,C6S,STD,6,5
29,41,F5,STD_6_050,C6M,STD,6,50
48,42,F6,STD_6_100,C6L,STD,6,100
40,43,G4,STD_7_005,C7S,STD,7,5
50,44,G5,STD_7_050,C7M,STD,7,50
12,45,G6,STD_7_100,C7L,STD,7,100
10,46,H4,STD_8_005,C8S,STD,8,5
31,47,H5,STD_8_050,C8M,STD,8,50
37,48,H6,STD_8_100,C8L,STD,8,100
