"RunOrder","Tube","Cell","Sample","ID","Diet","Population","PoolSize","Isocitric acid (Isocitrate)","Leucine","Lysine","Phenylalanine","Tryptophan","Asparagine","Aspartic acid","Ornithine","Acetyl coA","Coenzyme A","Adenosine triphosphate","Adenosine 5'-diphosphate","Adenosine 5'-monophosphate","FADH","NADP","NADPH","NADH","NAD"
38,"X1","A1","HSD_1_005","T1S","HSD","1","5",0.653491178660234,0.775405722056075,0.753556416338365,0.97544577150783,0.162356615262853,0.207462848746301,-0.984832624308457,-0.666564553007854,-0.661979557243839,-1.74643187692675,-0.896408415432567,1.33620247857644,2.27462012524117,-1.15908947368941,0.368261969942105,-1.39246021921244,-1.61755842501166,1.61852201850161
13,"X2","A2","HSD_1_050","T1M","HSD","1","50",0.661068119022275,0.797796884860253,0.838911023376476,1.0564092383882,0.393883234397614,0.297007083107523,-1.03082727185326,-0.660170583483438,-0.666083392888154,-1.56372265610522,-1.18619232129798,1.29872995298832,2.17786815855706,-1.25915473442294,0.0952060853692283,-1.77341283522273,-1.1008969651944,1.62358098040119
6,"X3","A3","HSD_1_100","T1L","HSD","1","100",0.687497733904786,0.817023654632605,0.853105628744005,1.09508267048362,0.458496320748555,0.417403910101647,-0.81709790734333,-0.568835950739521,-0.596093176322253,-1.69120080388369,-1.57424600718706,1.21091379142767,2.16158426571997,-1.29192376057977,-0.159590862475272,-1.84083946309705,-0.773293360032643,1.61201331589773
7,"X4","B1","HSD_2_005","T2S","HSD","2","5",0.617721021489221,0.728045448062637,0.74976540172975,0.892344109890224,0.183694104264136,0.151292001898388,-0.861480185411078,-0.820307722946611,-0.711466897786094,-1.70022953108067,-0.970139036470375,1.39056144754723,2.2865703552938,-0.898702110371683,0.280022912262468,-1.29360642251413,-1.58016704670088,1.55608215084368
54,"X5","B2","HSD_2_050","T2M","HSD","2","50",0.663626962157559,0.768637021948088,0.776523581985569,1.04775608776115,0.413700961961422,0.260844443597988,-0.847217355046544,-0.836295861932044,-0.658069896761984,-1.78903883769522,-1.33671597223206,1.33692475376235,2.27366506228013,-1.38980152455469,0.0850785311388469,-1.67484748449079,-0.773138101487849,1.67836762760807
47,"X6","B3","HSD_2_100","T2L","HSD","2","100",0.754135314168761,0.83411097246042,0.949811656301911,1.14111636923989,0.549501346597606,0.393383913438941,-1.04449126866562,-0.728917139676649,-0.534252496977033,-1.41610379716949,-1.4083402658517,1.39376317923465,2.31214623564645,-2.49377548297332,0.108425572025389,-1.84088572333636,-0.761111649138756,1.79148326467491
22,"X7","C1","HSD_3_005","T3S","HSD","3","5",0.588782253008056,0.766727713414172,0.861590602928796,0.879618184097655,0.199795553981834,0.0752745138254349,-1.01970394289474,-0.914964192193097,-0.653567868905313,-1.12224190093431,-1.0873375377998,1.4300436833347,2.25182995707293,-1.25794232744505,0.333860045573457,-1.37042813087901,-1.53020270895468,1.56886610276896
49,"X8","C2","HSD_3_050","T3M","HSD","3","50",0.560283324817585,0.65755656233187,0.719711912452497,0.949140852252949,0.418702507331618,0.253026089904975,-0.778019527203815,-0.86089271127119,-0.544557417344191,-2.19032661549073,-1.29312938322843,1.443046771097,2.28147513295474,-1.27006917012088,0.144155700247644,-1.74604351510542,-0.466957366315394,1.72289685268918
51,"X9","C3","HSD_3_100","T3L","HSD","3","100",0.608849638670721,0.726822626846062,0.836046263980994,1.01927332142304,0.484998244624766,0.34498471777586,-0.673377177807575,-0.800118426124778,-0.563124729814819,-1.70891752374032,-1.454082703294,1.38616097496547,2.26314295176661,-1.7638999674978,0.0220866327019644,-1.92284653772662,-0.538973289837442,1.73297498308786
21,"X10","D1","HSD_4_005","T4S","HSD","4","5",0.605317731761197,0.768663450280665,0.876920768868005,0.828794749828675,0.285678385732147,0.119405326053745,-1.03358137961603,-0.686725541624593,-0.550139780346486,-1.12040495365742,-1.08820133231196,1.27233517377249,2.1882995245613,-1.57384964355316,0.268324607047751,-1.37835367386675,-1.31059196839597,1.5281085554664
